file,route,controller,tuning_value,mean_abs_cte_m,max_abs_cte_m,mean_abs_heading_error_deg,max_abs_heading_error_deg,final_distance_to_goal_m,simulation_time_s
purepursuit_ccurve_ld3.csv,ccurve,pure_pursuit,3.0,0.5122122694098895,1.3108848499823955,1.4294377905817721,25.081932067871087,4.922344739481883,98.0
purepursuit_ccurve_ld6.csv,ccurve,pure_pursuit,6.0,0.5924623578476614,2.532295118728653,1.9655785681536917,43.06869506835938,4.951302625220082,96.05
purepursuit_ccurve_ld10.csv,ccurve,pure_pursuit,10.0,1.6161667422748807,4.050934084375565,19.762727163991425,56.54583740234375,88.69095007068314,199.95
stanley_ccurve_k04.csv,ccurve,stanley,0.4,0.19588733831186173,1.328730193332171,1.9855469259884624,38.78935241699221,4.803235093651612,99.85
stanley_ccurve_k08.csv,ccurve,stanley,0.8,0.1011024216405737,1.038839553022436,1.6238350031349553,36.133743286132834,4.828254082645506,99.65
stanley_ccurve_k12.csv,ccurve,stanley,1.2,0.06912918484814408,0.9195500727390508,1.478684601530276,39.68161010742189,4.828287862701304,100.05
purepursuit_straightline_ld3.csv,straightline,pure_pursuit,3.0,0.494628685596475,1.0000766062710196,0.30597650314458796,0.6049001514911652,4.7099657500520085,106.1
purepursuit_straightline_ld6.csv,straightline,pure_pursuit,6.0,0.49464405946190787,0.9996046236090496,0.19320970322166434,0.652998507022865,4.794104046232524,109.85
purepursuit_straightline_ld10.csv,straightline,pure_pursuit,10.0,0.4956299240774632,1.000881187878773,0.08732143809943677,2.0902100801467896,4.946398817828279,112.85
stanley_straightline_k04.csv,straightline,stanley,0.4,0.0012362639718954693,0.00585523385081,0.14447751207575976,0.7258516699075699,4.726893898193408,109.65
stanley_straightline_k08.csv,straightline,stanley,0.8,0.000904809808475436,0.0099636467898434,0.09754833539583274,0.4868465065956118,4.910686611320688,112.95
stanley_straightline_k12.csv,straightline,stanley,1.2,0.000469975638235625,0.007151022837509,0.11524384496722903,0.5650787055492402,4.723479942017291,109.7
purepursuit_sturn_ld3.csv,sturn,pure_pursuit,3.0,0.5384402919967805,1.508331975555654,1.6158620335659513,23.150253295898445,4.817354498071859,101.35
purepursuit_sturn_ld6.csv,sturn,pure_pursuit,6.0,0.6528331869983831,2.472668999523058,2.4301398324113332,34.406570434570305,4.800807500027187,98.9
purepursuit_sturn_ld10.csv,sturn,pure_pursuit,10.0,1.3508341465615836,3.6429248190999566,30.00278982927371,60.844406127929695,164.6710724465123,199.95
stanley_sturn_k04.csv,sturn,stanley,0.4,0.23230803142061185,1.3200632685229472,2.319574827722613,40.13165283203124,4.744544954883148,102.55
stanley_sturn_k08.csv,sturn,stanley,0.8,0.1257848732058247,1.0935149671529094,2.1252611011351883,39.78033447265624,4.922113061343641,102.45
stanley_sturn_k12.csv,sturn,stanley,1.2,0.08390024160792274,0.8729189396993933,1.8346370544245656,36.31266784667968,4.729749979534955,102.85
