step,x,y,steer,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.4899999797344208,180.65013131065888
1,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.9800000786781311,180.65013131065888
2,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,1.470000147819519,180.65013131065888
3,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,1.9600002765655518,180.65013131065888
4,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,2.450000286102295,180.65013131065888
5,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,2.93999981880188,180.65013131065888
6,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,2.064596414576942,180.65013131065888
7,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.7380887269984148,180.65013131065888
8,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.11209687590599839,180.65013131065888
9,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.1505615711212297,180.65013131065888
10,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.23337243497375265,180.65013131065888
11,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.23370592296123693,180.65013131065888
12,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.2014348804950751,180.65013131065888
13,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.1607653200626511,180.65013131065888
14,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.1224203258752986,180.65013131065888
15,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.09031106531645779,180.65013131065888
16,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.06511270254859244,180.65013131065888
17,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.046137589961362004,180.65013131065888
18,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.03224974498207711,180.65013131065888
19,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.02229563705626585,180.65013131065888
20,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.015275287441912007,180.65013131065888
21,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.010385398753021358,180.65013131065888
22,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.007017087657035875,180.65013131065888
23,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.00471305847293016,180.65013131065888
24,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0031503580989579367,180.65013131065888
25,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0005038452577599097,180.65013131065888
26,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.000939483639575704,180.65013131065888
27,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.000980129234717092,180.65013131065888
28,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0008600902513688456,180.65013131065888
29,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0006949233952465777,180.65013131065888
30,-64.64484405517578,24.471010208129883,-0.22096868830420965,0.03339420847441711,-4.0233135224813905e-07,0,3,0.0005329799622611299,180.65013131065888
