step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,sturn,192,stanley,1.2,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-3.0585928949199234e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,0.9800000786781311,171.16852996795186
1,0.05,sturn,192,stanley,1.2,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-2.039175421400282e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,1.470000147819519,171.16852996795186
2,0.1,sturn,192,stanley,1.2,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-1.5294666535752013e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,1.9600002765655518,171.16852996795186
3,0.15000000000000002,sturn,192,stanley,1.2,332.51141357421875,-117.62440490722656,332.51141357421875,-117.62442016601562,0.9240431189537048,-1.2236414722279064e-05,0.35,0.0,1.5256804705725497e-05,-1.1920928942248105e-07,0,-1,2.450000286102295,171.16852996795186
4,0.2,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-3.148642003539261e-05,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,1.9039393663553963,171.1685448108037
5,0.25,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-8.273943462983788e-05,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.7244939208042214,171.1685448108037
6,0.30000000000000004,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.00037832050779772674,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.1584431380034877,171.1685448108037
7,0.35000000000000003,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.08698045462376479,171.1685448108037
8,0.4,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.00034889935220536883,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.17180408537387876,171.1685448108037
9,0.45,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0003303199009782368,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.1814676225185461,171.1685448108037
10,0.5,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.000374350741674464,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.16012334823610438,171.1685448108037
11,0.55,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.000462893590450289,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.12949453294316787,171.1685448108037
12,0.6000000000000001,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.09944988042138751,171.1685448108037
13,0.65,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.07379931956533825,171.1685448108037
14,0.7000000000000001,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.05344283953319693,171.1685448108037
15,0.75,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.037996444852191225,171.1685448108037
16,0.8,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.026628855615863038,171.1685448108037
17,0.8500000000000001,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.01845107972680803,171.1685448108037
18,0.9,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.012663859874076122,171.1685448108037
19,0.9500000000000001,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.008623942732826025,171.1685448108037
20,1.0,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.005832404840597274,171.1685448108037
21,1.05,sturn,192,stanley,1.2,332.51141357421875,-117.6243896484375,332.51141357421875,-117.62442016601562,0.9240431189537048,-0.0005994208775860963,0.35,0.0,3.0513609411450994e-05,-1.1920928942248105e-07,0,-1,0.003923005896257032,171.1685448108037
22,1.1,sturn,192,stanley,1.2,332.5141296386719,-117.62435150146484,332.51141357421875,-117.62442016601562,0.9237754344940186,-0.00017505973544860946,0.35,0.0,2.4853938578707865e-05,0.0002675652503967977,0,-1,0.26722796927440584,171.16795210031327
23,1.1500000000000001,sturn,192,stanley,1.2,332.5506286621094,-117.62376403808594,332.51141357421875,-117.62442016601562,0.923579752445221,-3.217148159680301e-05,0.35,0.0,2.3625050242622337e-05,0.00046324729919451207,0,-1,1.0220793876232201,171.1600639203528
24,1.2000000000000002,sturn,192,stanley,1.2,332.614990234375,-117.62271881103516,332.51141357421875,-117.62442016601562,0.923479437828064,-2.700329090430495e-05,0.35,0.0,3.076394115568448e-05,0.0005635619163514699,0,-1,1.4020049681960463,171.14618121661937
25,1.25,sturn,192,stanley,1.2,332.6955871582031,-117.62142944335938,332.51141357421875,-117.62442016601562,0.9234191179275513,-5.517888462331747e-06,0.35,0.0,2.018591925210438e-05,0.0006238818168640491,0,-1,1.69873700392583,171.12881013322544
26,1.3,sturn,192,stanley,1.2,332.78619384765625,-117.61997985839844,332.51141357421875,-117.62442016601562,0.923385500907898,1.0047506120134406e-05,0.35,0.0,8.377921007691504e-06,0.0006574988365173676,0,-1,1.883438141447865,171.10932495730574
27,1.35,sturn,192,stanley,1.2,332.8845520019531,-117.618408203125,332.51141357421875,-117.62442016601562,0.9233892560005188,2.488781026007843e-05,0.35,0.0,-6.382688800495896e-06,0.0006537437438965838,0,-1,2.019243239529067,171.08822273999192
28,1.4000000000000001,sturn,192,stanley,1.2,332.9892578125,-117.61671447753906,332.51141357421875,-117.62442016601562,0.9234309792518616,1.882156025987918e-05,0.35,0.0,-1.4568382683604816e-06,0.0006120204925537901,0,-1,2.143291207018818,171.06583805989547
29,1.4500000000000002,sturn,192,stanley,1.2,333.0993347167969,-117.61495208740234,332.51141357421875,-117.62442016601562,0.9234753847122192,2.8927641164940557e-05,0.35,0.0,-1.4494424280484322e-05,0.0005676150321962076,0,-1,2.240210879066332,171.0423533495875
30,1.5,sturn,192,stanley,1.2,333.2143249511719,-117.61309051513672,332.51141357421875,-117.62442016601562,0.9235368371009827,2.084160624604223e-05,0.35,0.0,-7.599531369728227e-06,0.0005061626434327233,0,-1,2.3399924878909344,171.017912607266
31,1.55,sturn,192,stanley,1.2,333.333740234375,-117.61116790771484,332.51141357421875,-117.62442016601562,0.9235938191413879,2.1787167052407535e-05,0.35,0.0,-1.1039711507683514e-05,0.0004491806030273529,0,-1,2.4221656864742145,170.99259918735223
32,1.6,sturn,192,stanley,1.2,333.4574890136719,-117.60917663574219,332.51141357421875,-117.62442016601562,0.9236488938331604,2.354748962349411e-05,0.35,0.0,-1.5710101130342324e-05,0.00039410591125492884,0,-1,2.5116413258417105,170.96645015642352
