step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,ccurve,247,stanley,1.2,250.85569763183594,-310.97308349609375,-179.4102020263672,1.937169582729294e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,0.9800000786781311,79.21691570285796
1,0.05,ccurve,247,stanley,1.2,250.85569763183594,-310.97308349609375,-179.4102020263672,-1.617717010085823e-08,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.470000147819519,79.21691570285796
2,0.1,ccurve,247,stanley,1.2,250.85569763183594,-310.97308349609375,-179.4102020263672,-1.2112424067074826e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,1.9600002765655518,79.21691570285796
3,0.15000000000000002,ccurve,247,stanley,1.2,250.85569763183594,-310.97308349609375,-179.4102020263672,-1.840924666722266e-07,0.35,0.0,-3.141317279597818e-07,-1.5258789046077574e-05,0,-1,2.450000286102295,79.21691570285796
4,0.2,ccurve,247,stanley,1.2,250.85574340820312,-310.97308349609375,-179.41123962402344,2.9065348075158205e-05,0.35,0.0,1.570658639798909e-07,0.0010223388672067526,0,-1,2.1377133055362654,79.21687843827782
5,0.25,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.4153594970703,0.00014395255685847527,0.35,0.0,1.2565269118391272e-06,0.00514221191407503,0,-1,0.8317166705176308,79.2167914876255
6,0.30000000000000004,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41671752929688,0.00017343693164135454,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.2009352682757232,79.2167914876255
7,0.35000000000000003,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41671752929688,0.00016103771068575194,0.35,0.0,1.2565269118391272e-06,0.006500244140651711,0,-1,0.07588265741005915,79.2167914876255
8,0.4,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.416259765625,0.00015850709002959568,0.35,0.0,1.2565269118391272e-06,0.006042480468760495,0,-1,0.1746245870226796,79.2167914876255
9,0.45,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41567993164062,0.00014304213555117577,0.35,0.0,1.2565269118391272e-06,0.005462646484398881,0,-1,0.18938574899304145,79.2167914876255
10,0.5,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41506958007812,0.0001240276039843094,0.35,0.0,1.2565269118391272e-06,0.0048522949218942225,0,-1,0.1689567058135575,79.2167914876255
11,0.55,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.4146270751953,0.00010803846041182699,0.35,0.0,1.2565269118391272e-06,0.004409790039099973,0,-1,0.1374703824391076,79.2167914876255
12,0.6000000000000001,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41424560546875,9.180504269959259e-05,0.35,0.0,1.2565269118391272e-06,0.004028320312540923,0,-1,0.10598427510850536,79.2167914876255
13,0.65,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41397094726562,8.256393836445142e-05,0.35,0.0,1.2565269118391272e-06,0.003753662109406193,0,-1,0.07886429385593924,79.2167914876255
14,0.7000000000000001,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41372680664062,7.558849193466359e-05,0.35,0.0,1.2565269118391272e-06,0.003509521484363619,0,-1,0.057226588405964,79.2167914876255
15,0.75,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41358947753906,7.166480331990713e-05,0.35,0.0,1.2565269118391272e-06,0.003372192382847143,0,-1,0.04074896601708738,79.2167914876255
16,0.8,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41348266601562,6.86130455063297e-05,0.35,0.0,1.2565269118391272e-06,0.003265380859371933,0,-1,0.02860063134535187,79.2167914876255
17,0.8500000000000001,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41348266601562,6.86130455063297e-05,0.35,0.0,1.2565269118391272e-06,0.003265380859371933,0,-1,0.019836857084019676,79.2167914876255
18,0.9,ccurve,247,stanley,1.2,250.85585021972656,-310.97308349609375,-179.41336059570312,6.512532229143579e-05,0.35,0.0,1.2565269118391272e-06,0.003143310546850646,0,-1,0.013628769876774886,79.2167914876255
