step,time,route_name,spawn_index,controller_type,tuning_value,x,y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,straightline,349,stanley,0.4,-364.3430480957031,37.064048767089844,-0.368408203125,-5.097644726295514e-06,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,0.9800000786781311,597.6172067986624
1,0.05,straightline,349,stanley,0.4,-364.3430480957031,37.064048767089844,-0.368408203125,-3.3984297481530884e-06,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,1.470000147819519,597.6172067986624
2,0.1,straightline,349,stanley,0.4,-364.3430480957031,37.064048767089844,-0.368408203125,-2.5488222074048803e-06,0.35,0.0,7.6292368166493705e-06,5.088887490341627e-14,0,-1,1.9600002765655518,597.6172067986624
3,0.15000000000000002,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.709829533354373e-06,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.9199349297460231,597.6171457643981
4,0.2,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-1.5261501683599623e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.3441779020329977,597.6171457643981
5,0.25,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.3683776557445526,-5.339949859894075e-05,0.35,0.0,8.02168626912421e-06,-3.054738039840921e-05,0,-1,0.06916984176550635,597.6171457643981
6,0.30000000000000004,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.3683776557445526,-5.339949859894075e-05,0.35,0.0,8.02168626912421e-06,-3.054738039840921e-05,0,-1,0.04898205780711876,597.6171457643981
7,0.35000000000000003,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.08883195385124937,597.6171457643981
8,0.4,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.09224654750354429,597.6171457643981
9,0.45,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.0808044003011366,597.6171457643981
10,0.5,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.06508419677107175,597.6171457643981
11,0.55,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.3684081733226776,-5.252756779630775e-05,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.04985408869588718,597.6171457643981
12,0.6000000000000001,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.3684081733226776,-5.252756779630775e-05,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.0369296745392038,597.6171457643981
13,0.65,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.3684081733226776,-5.252756779630775e-05,0.35,0.0,8.02168626912421e-06,-2.9802306254062185e-08,0,-1,0.026707224636768577,597.6171457643981
14,0.7000000000000001,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.018968530079284878,597.6171457643981
15,0.75,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.01328331798917746,597.6171457643981
16,0.8,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.009199036403912456,597.6171457643981
17,0.8500000000000001,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.006310062653726964,597.6171457643981
18,0.9,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.004295235421767825,597.6171457643981
19,0.9500000000000001,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.0029027282268433282,597.6171457643981
20,1.0,straightline,349,stanley,0.4,-364.3429870605469,37.064048767089844,-0.368408203125,-5.2526716300389376e-05,0.35,0.0,8.02168626912421e-06,5.088887490341627e-14,0,-1,0.0019527546627152845,597.6171457643981
