step,x,y,steer,cross_track_error,heading_error_deg,closest_waypoint,speed,distance_to_goal
0,-64.64484405517578,24.471010208129883,0.08916165924480639,-0.03339330699184695,-4.0233135224813905e-07,0,0.4899999797344208,180.65013131065888
1,-64.64484405517578,24.471010208129883,0.044613905464311626,-0.03339330699184695,-4.0233135224813905e-07,0,0.9800000786781311,180.65013131065888
2,-64.64484405517578,24.471010208129883,0.029746690494521274,-0.03339330699184695,-4.0233135224813905e-07,0,1.470000147819519,180.65013131065888
3,-64.64484405517578,24.471010208129883,0.022311088414179416,-0.03339330699184695,-4.0233135224813905e-07,0,1.9600002765655518,180.65013131065888
4,-64.64484405517578,24.471010208129883,0.0178492667228641,-0.03339330699184695,-4.0233135224813905e-07,0,2.450000286102295,180.65013131065888
5,-64.64484405517578,24.471010208129883,0.014874569784206738,-0.03339330699184695,-4.0233135224813905e-07,0,2.93999981880188,180.65013131065888
6,-64.64484405517578,24.471010208129883,0.021180897797225928,-0.03339330699184695,-4.0233135224813905e-07,0,2.064596414582906,180.65013131065888
7,-64.64484405517578,24.471010208129883,0.059225100945247154,-0.03339330699184695,-4.0233135224813905e-07,0,0.7380887269987981,180.65013131065888
8,-64.64484405517578,24.471010208129883,0.3829870696550045,-0.03339330699184695,-4.0233135224813905e-07,0,0.11209687590606426,180.65013131065888
9,-64.64484405517578,24.471010208129883,0.2874704969247766,-0.03339330699184695,-4.0233135224813905e-07,0,0.1505615711212336,180.65013131065888
10,-64.64484405517578,24.471010208129883,0.18658126970067546,-0.03339330699184695,-4.0233135224813905e-07,0,0.23337247967722338,180.65013131065888
11,-64.64484405517578,24.471010208129883,0.1863173332231225,-0.03339330699184695,-4.0233135224813905e-07,0,0.2337059527635611,180.65013131065888
12,-64.64484405517578,24.471010208129883,0.21584471390777324,-0.03339330699184695,-4.0233135224813905e-07,0,0.20143529772758628,180.65013131065888
13,-64.64484405517578,24.471010208129883,0.26956368041094936,-0.03339330699184695,-4.0233135224813905e-07,0,0.1607652753591733,180.65013131065888
14,-64.64484405517578,24.471010208129883,0.3517197682677383,-0.03339330699184695,-4.0233135224813905e-07,0,0.12241979688407538,180.65013131065888
15,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.09031099081049816,180.65013131065888
16,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.06511308252824975,180.65013131065888
17,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.04613782837997489,180.65013131065888
18,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.032250117510813435,180.65013131065888
19,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.022296007722763307,180.65013131065888
20,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.015274886974296034,180.65013131065888
21,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.010385160334424519,180.65013131065888
22,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.007016057614391491,180.65013131065888
23,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.004712619820214608,180.65013131065888
24,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0031503867363264102,180.65013131065888
25,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0005038547702683198,180.65013131065888
26,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0009395122195030819,180.65013131065888
27,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0009801292349968778,180.65013131065888
28,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0008600902513506408,180.65013131065888
29,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0006952094894191969,180.65013131065888
30,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0005326366518506206,180.65013131065888
31,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0003941154284255488,180.65013131065888
32,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0002856826787323666,180.65013131065888
33,-64.64484405517578,24.471010208129883,0.42734510152313043,-0.03339330699184695,-4.0233135224813905e-07,0,0.0002027320959531167,180.65013131065888
34,-64.64226531982422,24.4715518951416,0.16384267245007145,-0.03285878713342976,-0.028562754392623905,0,0.2604613002835593,180.64803619913226
35,-64.60761260986328,24.476322174072266,0.030928026851282014,-0.0281848097914836,-0.2356948107481003,0,0.9798910168350152,180.6188044983573
36,-64.54582977294922,24.480024337768555,0.01322539842102022,-0.0246543251043479,-0.35522599518299103,0,1.3812169449823821,180.56462513456296
37,-64.46980285644531,24.481746673583984,0.007450443002393381,-0.023143238085915698,-0.38871742784976965,0,1.6332414641032793,180.49674173648444
38,-64.38429260253906,24.483001708984375,0.0043923300619361375,-0.022125799301455928,-0.4218480736017228,0,1.761941829073615,180.42010479324244
39,-64.29206848144531,24.484264373779297,0.00235014842699267,-0.021119385752095036,-0.4276484400033951,0,1.8984288647712038,180.33742045450808
40,-64.19587707519531,24.485538482666016,0.0018080577036953575,-0.020112551327946104,-0.411960855126381,0,1.9397877422544823,180.25117060164322
41,-64.09589385986328,24.486732482910156,0.0008110555287188925,-0.0191963608465687,-0.40309520065784454,0,2.0392031162493223,180.16147529487347
42,-63.99336624145508,24.48792839050293,0.0006570168690500843,-0.018285332693421048,-0.38404418528079987,0,2.0590710346705934,180.06949636764273
43,-63.887939453125,24.48905372619629,2.0902134643874825e-06,-0.017452931562805966,-0.3732691556215287,0,2.1427309595161392,179.97488337963523
44,-63.780487060546875,24.49018669128418,7.824684764731773e-06,-0.016618529244777712,-0.3532713800668717,0,2.1545406562802554,179.87845889405457
45,-63.67045211791992,24.491249084472656,-0.00045291352148432154,-0.01586187421529626,-0.3416188508272171,0,2.2318012469548667,179.7796875993307
46,-63.55862045288086,24.49232292175293,-0.12978962322300736,-0.0386562213894107,-5.333335012197494,1,2.240751511682725,179.67931436748233
47,-63.44456100463867,24.490922927856445,-0.13140248499850313,-0.030402026762869655,-5.2029054164886475,1,2.307770965522402,179.57587575345028
48,-63.32931900024414,24.485219955444336,-0.12480225553125358,-0.026335343718944013,-4.890009641647338,1,2.312739703659247,179.4695209558919
49,-63.21187210083008,24.477888107299805,-0.11731635772024428,-0.02370516809065778,-4.561633199453354,1,2.3850653044504417,179.36048442594938
50,-63.0927619934082,24.47000503540039,-0.1092971311422344,-0.021483536569959417,-4.236803948879242,1,2.393547454557651,179.2497210405046
51,-62.97136688232422,24.461639404296875,-0.10199586750055448,-0.019549428258030296,-3.9335506558418265,1,2.4637870382754326,179.13670047241098
52,-62.84834289550781,24.453014373779297,-0.09457381102172296,-0.01773599028093042,-3.6389646530151363,1,2.4718616207756288,179.022111139796
53,-62.72311782836914,24.444005966186523,-0.08787875398686461,-0.01611834865667806,-3.366656184196472,1,2.5397210514315276,178.9053841294446
54,-62.59632110595703,24.434778213500977,-0.08115318636513258,-0.01458630735385471,-3.1028013229370113,1,2.547564827790358,178.7871581366209
55,-62.46738815307617,24.42519760131836,-0.075110935163035,-0.01322514037562073,-2.8608578443527217,1,2.6131788870108084,178.66686706799553
56,-62.33692169189453,24.415416717529297,-0.06908800076595169,-0.011933795754461143,-2.6267881393432617,1,2.6208970902925506,178.54512054402346
57,-62.20439910888672,24.405311584472656,-0.06370272505183688,-0.010791594799614532,-2.4138669967651367,1,2.6843447929175572,178.42139448349243
58,-62.07038879394531,24.395023345947266,-0.058366383231333176,-0.009705984178050929,-2.208086729049682,1,2.6919967519092105,178.2962625562726
59,-61.93439483642578,24.384428024291992,-0.05362000356952117,-0.008758544201973695,-2.022508859634399,1,2.7533414107955005,178.16922479117093
60,-61.79695129394531,24.373668670654297,-0.04893547165087917,-0.00785191659482485,-1.8430962562561033,1,2.760963668835477,178.04082472338962
61,-61.65757751464844,24.362621307373047,-0.04479709216127032,-0.007068972527644782,-1.6827874183654783,1,2.820260035929964,177.9105761857628
62,-61.51681137084961,24.351425170898438,-0.040721528578308054,-0.006316477460874201,-1.5276360511779785,1,2.8278812073941593,177.7790244315109
63,-61.37416458129883,24.3399600982666,-0.23675309319745905,-0.0036658848000955535,-8.344597816467285,2,2.8851821616887716,177.6456781552097
64,-61.23074722290039,24.325408935546875,-0.23561169595535914,0.011436334136485066,-8.064568042755125,2,2.8827397190084367,177.5103057499846
