step,time,route_name,spawn_index,controller_type,tuning_value,x,y,path_x,path_y,yaw_deg,steer,throttle,brake,cross_track_error,heading_error_deg,closest_waypoint,target_waypoint,speed,distance_to_goal
0,0.0,straightline,349,pure_pursuit,10.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.6202105647516845e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,6,0.9800000786781311,597.6172067986624
1,0.05,straightline,349,pure_pursuit,10.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.6202105647516845e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,6,1.470000147819519,597.6172067986624
2,0.1,straightline,349,pure_pursuit,10.0,-364.3430480957031,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.6202105647516845e-06,0.35,0.0,7.62939453125e-06,5.088887490341627e-14,0,6,1.9600002765655518,597.6172067986624
3,0.15000000000000002,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.9199349297465687,597.6171457643981
4,0.2,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.3441779020330889,597.6171457643981
5,0.25,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3683776557445526,6.101481370234017e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,6,0.06916984921922813,597.6171457643981
6,0.30000000000000004,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3683776557445526,6.101481370234017e-06,0.35,0.0,6.151014517439689e-05,-3.054738039840921e-05,0,6,0.04898205780721825,597.6171457643981
7,0.35000000000000003,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.08883195385043073,597.6171457643981
8,0.4,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.09224654750350003,597.6171457643981
9,0.45,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.08080438540315886,597.6171457643981
10,0.5,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.06508419677108392,597.6171457643981
11,0.55,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,6.5897626202150425e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,6,0.049854096141037425,597.6171457643981
12,0.6000000000000001,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,6.5897626202150425e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,6,0.03692973415213142,597.6171457643981
13,0.65,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.3684081733226776,6.5897626202150425e-06,0.35,0.0,6.151014517439689e-05,-2.9802306254062185e-08,0,6,0.026707377377364394,597.6171457643981
14,0.7000000000000001,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.01896868283133546,597.6171457643981
15,0.75,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.013283412993031509,597.6171457643981
16,0.8,straightline,349,pure_pursuit,10.0,-364.3429870605469,37.064048767089844,-364.3430480957031,37.06404113769531,-0.368408203125,6.590239457372713e-06,0.35,0.0,6.151014517439689e-05,5.088887490341627e-14,0,6,0.009199112769395648,597.6171457643981
